,GesamtEnergie
 20220509_16_34_05.wav,2.8686468795058317e-05
 20220509_16_34_08.wav,4.662626815843396e-05
 20220509_16_34_11.wav,7.569388253614306e-05
 20220509_16_34_14.wav,6.628790288232267e-05
 20220509_16_34_17.wav,4.516518674790859e-05
 20220509_16_34_20.wav,3.606462269090116e-05
 20220509_16_34_23.wav,2.2789534341427498e-05
 20220509_16_34_26.wav,2.858117659343407e-05
 20220509_16_34_29.wav,3.803208164754324e-05
 20220509_16_34_32.wav,1.6207712178584188e-05
 20220509_16_34_35.wav,2.546326504671015e-05
 20220509_16_34_41.wav,2.4430722987744957e-05
 20220509_16_34_44.wav,5.159292413736693e-05
 20220509_16_34_47.wav,6.773893255740405e-05
 20220509_16_34_50.wav,6.589181430172175e-05
 20220509_16_34_53.wav,3.0061888537602503e-05
 20220509_16_34_56.wav,2.2553593225893565e-05
 20220509_16_34_59.wav,1.637699460843578e-05
 20220509_16_35_02.wav,1.3519454114430118e-05
 20220509_16_35_05.wav,1.6893547581275925e-05
 20220509_16_35_08.wav,4.292540324968286e-05
 20220509_16_35_11.wav,2.0980867702746764e-05
 20220509_16_35_14.wav,8.525397424818948e-05
 20220509_16_35_17.wav,5.257878729025833e-05
 20220509_16_35_20.wav,2.2249030735110864e-05
 20220509_16_35_23.wav,2.6384572265669703e-05
 20220509_16_35_26.wav,1.6843710909597576e-05
 20220509_16_35_29.wav,1.5356659787357785e-05
 20220509_16_35_32.wav,1.3039607438258825e-05
 20220509_16_35_36.wav,1.2323846931394654e-05
 20220509_16_35_55.wav,2.8781923901988197e-05
 20220509_16_36_01.wav,2.9909706427133642e-05
 20220509_16_36_04.wav,2.641897117428016e-05
 20220509_16_36_07.wav,5.5655949836364016e-05
 20220509_16_36_16.wav,4.9454811232862994e-05
 20220509_16_36_19.wav,5.147678166395053e-05
 20220509_16_36_22.wav,3.724819180206395e-05
 20220509_16_36_25.wav,3.239451325498522e-05
 20220509_16_36_28.wav,4.681431528297253e-05
 20220509_16_36_31.wav,1.740190236887429e-05
 20220509_16_36_34.wav,3.4442484320607036e-05
 20220509_16_36_40.wav,3.368609395693057e-05
 20220509_16_36_43.wav,6.924596527824178e-05
 20220509_16_36_46.wav,5.562698788708076e-05
 20220509_16_36_49.wav,6.33268864476122e-05
 20220509_16_36_52.wav,3.014949106727727e-05
 20220509_16_36_55.wav,3.161843051202595e-05
 20220509_16_37_01.wav,2.5558110792189837e-05
 20220509_16_37_04.wav,4.6442291932180524e-05
 20220509_16_37_07.wav,7.437506428686902e-05
 20220509_16_37_10.wav,5.114669329486787e-05
 20220509_16_37_19.wav,5.833312752656639e-05
 20220509_16_37_22.wav,5.971847349428572e-05
 20220509_16_37_25.wav,3.2251100492430844e-05
 20220509_16_37_28.wav,3.9663958887103945e-05
 20220509_16_37_31.wav,2.0958092136424966e-05
 20220509_16_37_34.wav,1.793274532246869e-05
 20220509_16_37_40.wav,6.508868682431057e-05
 20220509_16_37_57.wav,3.206173641956411e-05
 20220509_16_38_06.wav,2.907551424868871e-05
 20220509_16_38_10.wav,8.489421452395618e-05
 20220509_16_38_13.wav,8.469507156405598e-05
 20220509_16_38_17.wav,5.309806147124618e-05
 20220509_16_38_23.wav,5.6789744121488184e-05
 20220509_16_38_26.wav,3.572267814888619e-05
 20220509_16_38_29.wav,5.831914677401074e-05
 20220509_16_38_32.wav,1.7812712030718103e-05
